z,locations,text
5.80828476,LTU,Lithuania
5.553925991,LTU,Lithuania
5.466920853,LTU,Lithuania
5.065824986,LTU,Lithuania
5.43243742,LTU,Lithuania
5.771037102,LTU,Lithuania
5.595689297,LTU,Lithuania
6.125723839,LTU,Lithuania
5.711378098,LTU,Lithuania
5.865552425,LTU,Lithuania
6.957920074,LUX,Luxembourg
7.097251892,LUX,Luxembourg
7.101400375,LUX,Luxembourg
6.964097023,LUX,Luxembourg
7.130809307,LUX,Luxembourg
6.89112711,LUX,Luxembourg
6.701571465,LUX,Luxembourg
6.967340946,LUX,Luxembourg
4.493598461,MKD,Macedonia
4.428021908,MKD,Macedonia
4.180202007,MKD,Macedonia
4.898180008,MKD,Macedonia
4.639647484,MKD,Macedonia
5.186190605,MKD,Macedonia
5.203825951,MKD,Macedonia
4.975589752,MKD,Macedonia
5.34574604,MKD,Macedonia
3.979751349,MDG,Madagascar
4.640079021,MDG,Madagascar
4.381415367,MDG,Madagascar
3.550609589,MDG,Madagascar
3.815607071,MDG,Madagascar
3.675626993,MDG,Madagascar
3.592514038,MDG,Madagascar
3.663085938,MDG,Madagascar
3.829868078,MWI,Malawi
4.89103651,MWI,Malawi
5.148239613,MWI,Malawi
3.946062565,MWI,Malawi
4.279269695,MWI,Malawi
4.035084248,MWI,Malawi
4.563080311,MWI,Malawi
3.86763835,MWI,Malawi
3.476492643,MWI,Malawi
6.011716843,MYS,Malaysia
6.238904476,MYS,Malaysia
5.806781769,MYS,Malaysia
5.384701729,MYS,Malaysia
5.580281734,MYS,Malaysia
5.786367416,MYS,Malaysia
5.914283752,MYS,Malaysia
5.770199776,MYS,Malaysia
5.962921619,MYS,Malaysia
6.322121143,MYS,Malaysia
4.014075756,MLI,Mali
4.114664078,MLI,Mali
3.976598501,MLI,Mali
3.762305021,MLI,Mali
4.666832924,MLI,Mali
4.313016891,MLI,Mali
3.676277161,MLI,Mali
3.974714279,MLI,Mali
4.582098484,MLI,Mali
